Key,Context,English,Deutsch,Français,中文,Español,Polski,Русский,日本,한국어
PROJECT_ABILITY_TRITIUMFROMTRITIUMPROD,{+1 food} per turn if the city produces at least {3 food},{0} [!URANIUM] mỗi lượt nếu thành phố sản xuất ít nhất {1} [!URANIUM].,"{0} [!URANIUM:N] pro Runde, wenn die Stadt mindestens {1} [!URANIUM:N] produziert.",{0} [!URANIUM] par tour si la ville produit au moins {1} [!URANIUM].,如果该城市生产至少{1}[!URANIUM]，则每回合{0}[!URANIUM]。,"{0} de [!URANIUM] por turno si la ciudad produce, al menos, {1} de [!URANIUM].","{0} jedn. [!URANIUM:G] na turę, jeśli miasto wytwarza co najmniej {1} jedn. [!URANIUM:G].","{0} [!TRITIUM] за ход, если город производит не менее {1} [!FOOD].",この都市が{1}以上の[!URANIUM]を生産している場合、1ターンにつき{0} [!URANIUM]。,도시에서 [!URANIUM]이 {1} 이상 생산되면 턴당 {0} [!URANIUM].
PROJECT_ABILITY_WATERFROMPOP,{+1 food} per turn if the city has at least {3 pop},{0} [!WATER] mỗi lượt nếu thành phố có ít nhất {1} [!POPULATION:SG].,"{0} [!WATER:N] pro Runde, wenn die Stadt mindestens {1} [!POPULATION] besitzt.",{0} [!WATER] par tour si la ville possède au moins {1} [!POPULATION].,如果该城市拥有至少{1}[!POPULATION]，则每回合{0}[!WATER]。,"{0} de [!WATER] por turno si la ciudad tiene, al menos, {1} de [!POPULATION].","{0} jedn. [!WATER:G] na turę, jeśli miasto ma co najmniej {1} p. [!POPULATION:SG:G].","{0} [!WATER] за ход, если город имеет не менее {1} [!POPULATION].",この都市に{1}人以上の[!POPULATION]がいる場合、1ターンにつき{0} [!WATER]。,도시의 [!POPULATION]이 {1} 이상이면 턴당 {0} [!WATER].
PROJECT_147_NAME,,Nông trại khoai tây ngoài trời,Freiland-Kartoffelfarm,Ferme de Patates en Plein Air,室外土豆农场,Campo de patatas exterior,Zewnętrzna uprawa ziemniaków,Картофельная ферма на открытом грунте,屋外ジャガイモ農場,야외 감자 농장
PROJECT_147_DESCRIPTION,,"Là cây lâu năm cho năng suất cao, khoai tây là thực phẩm chủ yếu tuyệt vời cho thuộc địa của bạn - và chúng cực kỳ linh hoạt trong nhà bếp!",Als mehrjährige Pflanze mit hohem Ertrag sind Kartoffeln ein wunderbares Grundnahrungsmittel für deine Kolonie – und sie lassen sich in der Küche vielfältig verwenden!,"En tant que plante vivace à fort rendement, les pommes de terre sont une nourriture essentielle de votre colonie. Leur utilisation en cuisine est également très polyvalente !",土豆产量高，一年四季都可种植，还能做成各种各样的佳肴，是你拓殖地的重要主食！,"Las patatas son tubérculos perennes que producen mucha cosecha, lo que las convierte en un alimento básico esencial para la colonia. Además, ¡son extremadamente versátiles a la hora de cocinar!",Ziemniak to wieloletnia roślina bulwiasta zapewniająca wysokie plony. Może stanowić fundament żywienia całej kolonii i ma wiele zastosowań w kuchni.,"Многолетнее растение с высокой урожайностью, картофель может стать основным продуктом питания в вашей колонии. Из него столько всего можно приготовить!",収穫の多い多年草であるジャガイモは、コロニーの主食として優れている。おまけに、極めて幅広く料理に使えるぞ！,수확량이 많은 다년생 식물 감자는 식민지의 탁월한 주식 먹거리입니다. 주방에서도 다양한 요리에 사용할 수 있습니다!
PROJECT_146_NAME,,Nông trại lúa mì ngoài trời,Freiland-Weizenfarm,Ferme de Blé en Plein Air,室外小麦农场,Campo de trigo exterior,Zewnętrzna uprawa pszenicy,Пшеничная ферма на открытом грунте,屋外小麦農場,야외 밀 농장
PROJECT_146_DESCRIPTION,,Lúa mì là thực phẩm chính trong nhiều thế kỷ. Freshly baked bread keeps the morale high!,Weizen ist seit Jahrhunderten Grundnahrungsmittel. Frisch gebackenes Brot sorgt für hohe Moral!,Le blé est une nourriture essentielle depuis des siècles. Du pain frais permet à vos habitants de garder le moral !,几百年来小麦一直是主食。用它烘焙的新鲜面包能让人保持昂扬斗志！,El trigo ha sido un alimento básico durante siglos. ¡El pan recién hecho pone de buen humor a cualquiera!,"Pszenica stanowi podstawę żywienia od stuleci. Nic tak nie podnosi morale, jak świeży, chrupiący chleb!",Человеческая цивилизация держится на пшенице. Недаром говорят: хлеб – всему голова!,小麦は長い間、主食として食べられてきた。焼き立てホヤホヤのパンは、やる気を高く保つぞ！,밀은 수백 년 동안 인간의 주식이었습니다. 갓 구운 빵은 주민들의 사기를 높여 줍니다!
PROJECT_148_NAME,,Cánh đồng lúa,Reisfelder,Champs de Riz,稻田,Campos de arroz,Pola ryżowe,Рисовые поля,稲田,논
PROJECT_148_DESCRIPTION,,Cây lúa cần được tưới nhiều nhưng có thể mang lại năng suất cao và cung cấp nhiều dinh dưỡng hơn hầu hết các loại ngũ cốc khác.,"Reis erfordert eine umfangreiche Bewässerung, bietet jedoch hohen Ertrag und mehr Nährwerte als die meisten anderen Getreide.",Le riz nécessite beaucoup d’irrigation mais son rendement est plus élevé et ses apports nutritionnels sont plus importants que la plupart des autres grains.,水稻需要灌溉大量水，但产量很高，其营养价值也比其他大部分谷物高。,"El arroz exige una irrigación exhaustiva, pero produce buenas cosechas y es más nutritivo que la mayoría de los cereales.","Ryż wymaga nawodnienia, ale zapewnia wysokie plony i jest bardziej pożywny od innych zbóż.","Рис требует обильного полива, но может обеспечить высокую урожайность и предлагает больше питательных веществ, чем большинство других злаков.",稲には大規模なかんがいが必要だが、収穫量が多く、他の多くの穀物よりも栄養素が高い。,쌀은 광범위한 관개 작업을 필요로 하지만 생산성이 높고 다른 곡물 대비 우수한 영양소를 제공해 줍니다.
PROJECT_149_NAME,,Vườn nho,Weinberge,Vignobles,葡萄园,Viñedos,Winnice,Виноградники,ブドウ園,포도밭
PROJECT_149_DESCRIPTION,,"Nho cần những ngọn đồi đầy nắng để chín và ngọt, nhưng ngay cả loại rượu cổ điển có vị chua cũng có thể trở nên phổ biến vì sự mới lạ tuyệt đối của rượu sao Hỏa.","Weintrauben benötigen sonnige Hänge, um zu guter Süße zu reifen, doch selbst eine saure Ernte könnte ein großer Erfolg sein, da es sich um eine Neuheit handelt: Wein vom Mars.","Les raisins nécessitent des collines ensoleillées pour mûrir et devenir sucrés, mais même un mauvais millésime martien peut devenir populaire, simplement du fait de son origine.",葡萄种在阳光充足的山丘才能成熟和变甜，不过就算葡萄酒口味酸涩，也会因为是新奇的火星酒而受到追捧。,"Las uvas necesitan colinas soleadas para madurar y adquirir un sabor dulce, aunque las cosechas ácidas también son muy populares por la novedad que supone tomar vino marciano.","Winogrona dojrzewają i zyskują słodycz tylko na nasłonecznionych wzgórzach, jednak nawet kwaśne szczepy nadadzą się na marsjańskie wino, choćby w ramach ciekawostki.","Чтобы виноград вызревал сладким, ему нужны залитые солнцем холмы. Впрочем, марсианское вино всем в новинку, так что кислые сорта тоже будут пользоваться успехом.",ブドウが熟して甘くなるには日当たりのいい高台が必要だが、酸っぱいワインになろうとも、まったく目新しい火星のワインとして人気が出るはずだ。,"포도는 해가 잘 드는 언덕에서 달콤하게 잘 익지만, 시큼한 빈티지라도 화성의 와인이라는 희소성 때문에 인기를 끌 수 있습니다."
PROJECT_145_NAME,,Trang trại cá,Fischfarm,Ferme Piscicole,养鱼场,Piscifactoría,Hodowla ryb,Рыбная ферма,養魚場,양어장
PROJECT_145_DESCRIPTION,,"Cá rất giàu chất đạm và axit béo có lợi, tạo nên sự bổ sung tuyệt vời cho bất kỳ chế độ ăn kiêng nào. Chúng sinh sản nhanh hơn động vật trên cạn nhưng cần nước ngọt để phát triển.","Fisch ist reich an Proteinen und wichtigen Fettsäuren und ist eine wunderbare Ergänzung zur Ernährung. Fische vermehren sich schneller als Landtiere, aber sie benötigen Süßwasser, um zu gedeihen.","Les poissons sont riches en protéines et en acides gras bénéfiques, et s’intègrent parfaitement à tout type de régime. Ils se reproduisent plus rapidement que les animaux terrestres, mais nécessitent de l’eau douce.",鱼富含蛋白质和有益的脂肪酸，能和任何餐食完美搭配。它们的繁殖速度比陆生动物更快，但只能在淡水中繁殖。,"El pescado es rico en proteínas y ácidos grasos insaturadas, por lo que son un complemento ideal para cualquier dieta. Se reproducen más rápido que los animales terrestres, pero necesitan agua dulce para desarrollarse bien.","Ryby są bogate w białko i zdrowe kwasy tłuszczowe. Stanowią idealny składnik każdej diety. Rozmnażają się szybciej niż zwierzęta lądowe, ale potrzebują słodkiej wody.","Рыба богата белком и полезными жирными кислотами, что делает ее отличным дополнением к любой диете. Кроме того, рыба плодится быстрее, чем наземные домашние животные. Но чтобы рыбохозяйства процветали, нужна пресная вода.",体に役立つタンパク質と脂肪酸が豊富な魚は、どんな食事にも素晴らしい新食材となる。陸生動物よりも繁殖は早いが、養殖にはきれいな水が必要である。,"생선은 단백질과 이로운 지방산이 풍부하여 어떤 식단에든 좋은 요소입니다. 물고기는 지상 동물보다 빠르게 번식하지만, 맑은 물이 있어야 생존할 수 있습니다."
PROJECT_150_NAME,,Trang trại vịt ngoài trời,Freiland-Entenfarm,Ferme de Canards en Plein Air,室外养鸭场,Criadero de patos exterior,Zewnętrzna ferma kaczek,Утиная ферма на открытом грунте,野外カモ飼育場,야외 오리 농장
PROJECT_150_DESCRIPTION,,"Vịt nhiều thịt hơn gà và trứng của chúng giàu dinh dưỡng hơn, khiến chúng trở thành động vật hoàn hảo để nuôi các phi hành gia.","Enten haben mehr Fleisch als Hühner und ihre Eier sind nährreicher, weshalb sie sich perfekt für die Ernährung von Astronauten eignen.","Les canards possèdent davantage de viande que les poulets et leurs œufs sont plus nourrissants, ils sont donc les candidats idéaux pour nourrir les astronautes.",鸭子的肉比鸡更多，蛋也更有营养。因此，它们是宇航员的绝佳食物来源。,"Los patos tienen más carne que los pollos y sus huevos son más nutritivos, lo que los convierte en animales idóneos para la alimentación de los astronautas.","Kaczki mają dużo zdrowego tłuszczu i mięsa, a ich jaja są bardziej pożywne od kurzych. To idealne ptactwo hodowlane dla podbijających kosmos.","В утке больше мяса, чем в курице, а утиные яйца более питательны, что важно в условиях космоса.",カモはニワトリより肉が多く、タマゴに含まれる栄養も多い。おかげで宇宙飛行士が食に困らずに済む、素晴らしい動物だ。,"오리는 닭보다 고기가 많고 알에는 영양소가 풍부하여, 우주 비행사의 식단으로 완벽한 동물입니다."
PROJECT_151_NAME,,Trang trại cừu ngoài trời,Freiland-Schaffarm,Ferme de Moutons en Plein Air,室外牧羊场,Granja de ovejas exterior,Zewnętrzna hodowla owiec,Овчарня на открытом грунте,屋外ヒツジ飼育場,야외 양 농장
PROJECT_151_DESCRIPTION,,"Thịt cừu là một trong những loại thịt ngon nhất hiện có, và những sinh vật lông mịn này cũng cung cấp len cho quần áo.","Lamm gehört zum schmackhaftesten Fleisch überhaupt, zudem produzieren diese flauschigen Tiere auch noch Wolle für Kleidung.","L’agneau est l’une des viandes les plus délicieuses, et ces petites bêtes poilues fournissent également de la laine pour les vêtements.",羊肉是最美味的肉类之一，它们蓬松的茸毛还能用来做衣服。,"El cordero produce una de las carnes más sabrosas que hay. Además, estas esponjosas criaturas también proporcionan lana para tejidos.","Jagnięcina to jedno z najsmaczniejszych mięs, a wełna idealnie nadaje się na ciepłą odzież.","Баранина – самое вкусное мясо, а шерсть можно пустить на изготовление одежды.",ヒツジは非常においしい肉を持つ上、フワフワなので、衣類用の羊毛も提供してくれる。,"양은 가장 맛있는 육류 중 하나이며, 복슬복슬한 털에서는 의류 제작에 사용되는 양모도 얻을 수 있습니다."
PROJECT_152_NAME,,Trang trại gia súc ngoài trời,Freiland-Rinderfarm,Ranch en Plein Air,室外牧牛场,Granja de ganado exterior,Zewnętrzne ranczo,Коровник на открытом воздухе,屋外ウシ牧場,야외 소 목장
PROJECT_152_DESCRIPTION,,"Gia súc cung cấp cả sữa và thịt cho người dân của bạn, nhưng chúng cần rất nhiều không gian để đi lại.","Rinder versorgen deine Bevölkerung mit Milch und Fleisch, aber sie brauchen viel Platz, um sich bewegen zu können.","Le bétail fournit à la fois du lait et de la viande à vos habitants, mais ils nécessitent de grands espaces.",牛能为你的民众提供牛奶和牛肉，但它们需要广阔的空间走动。,"El ganado produce tanto leche como carne para la población, pero necesita mucho espacio para pastar a gusto.","Bydło zapewnia populacji mleko i mięso, lecz wymaga dużo miejsca na wypas.","Крупный рогатый скот обеспечивает население молоком и мясом, но требует много места под пастбища.",ウシは移住者に牛乳と肉の両方を提供してくれるが、放牧用の広い空間を必要とする。,"소는 거주민이 이용할 수 있는 우유와 육류를 제공해 주지만, 돌아다닐 수 있는 넓은 공간이 필요합니다."
PROJECT_117_NAME,,Quận nhà hàng,Restaurant-Distrikt,Quartier des Restaurants,餐饮区,Distrito gastronómico,Dzielnica restauracyjna,Ресторанный уголок,レストランゾーン,레스토랑 구역
PROJECT_117_DESCRIPTION,,"Quận này cung cấp nhiều lựa chọn nhà hàng cho công dân của bạn thưởng thức, phục vụ cho mọi khẩu vị.","Dieser Distrikt bietet deinen Bürgern eine Vielzahl von Restaurants, wo für jeden Geschmack etwas dabei ist.",Ce quartier dispose d’une large sélection de restaurants s’adaptant à tous les goûts de vos citoyens.,这个地区拥有形形色色的餐厅，可让偏好各种口味的市民都能大快朵颐。,Este distrito cuenta con un amplio abanico de restaurantes para que los ciudadanos disfruten y le den una alegría al paladar.,W tej dzielnicy jest mnóstwo restauracji oferujących szeroki wachlarz kuchni z Ziemi.,Этот район предлагает жителям широкий выбор ресторанов на любой вкус.,この地区には、市民が楽しめるよう、あらゆる好みに合う様々なレストランがある。,이 구역에는 입맛이 다른 시민들이 모두 맛있는 식사를 즐길 수 있는 광범위한 레스토랑이 마련되어 있습니다.
PROJECT_225_NAME,,Văn phòng giám sát thực phẩm,Nahrungsmittelaufsicht,Contrôle Qualité des Aliments,食品质量监督局,Departamento de supervisión alimentaria,Biuro kontroli żywności,Контроль за качеством пищи,食監視オフィス,식량 모니터링 사무실
PROJECT_225_DESCRIPTION,,Chúng ta phải đảm bảo thực phẩm của chúng ta đáp ứng các tiêu chuẩn chất lượng cao để đảm bảo sự hài lòng của người dân và đề phòng trường hợp ngộ độc thực phẩm.,"Wir müssen dafür sorgen, dass unsere Nahrung hohen Qualitätsstandards entspricht, um die Zufriedenheit unserer Bevölkerung sicherzustellen und Fälle von Lebensmittelvergiftung zu verhindern.",Nous devons nous assurer que la qualité de notre nourriture permet de satisfaire la population et d’éviter les intoxications alimentaires.,我们得确保自己的食物能够满足高质量标准。让民众吃得心满意足的同时，也要避免出现食物中毒事件。,"Hay que asegurarse de que la comida reúne los estándares de calidad para que los colonos estén satisfechos, además de prevenir casos de intoxicación alimentaria.","Żywność musi spełniać wyśrubowane standardy jakości, aby nie dochodziło do zatruć, a mieszkańcy byli zadowoleni.","Мы обязаны следить за высокими стандартами качества нашей еды, чтобы насытить колонистов и предотвратить случаи пищевого отравления.",人々の満足感と食中毒の防止のため、食糧が高い品質基準を満たしていることを確認しなければならない。,식량의 품질을 높게 유지해야 사람들을 만족시키고 식중독을 예방할 수 있습니다.
PROJECT_120_NAME,,Công ty du lịch,Touranbieter,Agence de Tourisme,旅游公司,Agencia turística,Agencja turystyczna,Туристическая компания,ツアー会社,여행사
PROJECT_120_DESCRIPTION,,"Các thuộc địa sao Hỏa cung cấp nhiều điểm tham quan cho du khách, và ngay cả những người sao Hỏa bản địa cũng thích tìm hiểu về lịch sử các khu định cư của họ.","Die Marskolonien bieten Besuchern viele Attraktionen, und selbst gebürtige Marsbewohner erfahren gern mehr über die Geschichte ihrer Siedlungen.","Les colonies martiennes proposent de nombreux panoramas à leurs visiteurs, et même les natifs de Mars aiment en apprendre davantage sur l’histoire de leur planète.",火星拓殖地有许多可供游客参观的景点，连从小在火星长大的居民都想了解他们的定居点的历史。,"Los visitantes pueden disfrutar de vistas muy variadas en las colonias marcianas, pero a los nativos marcianos también les gusta aprender sobre la historia de sus propios asentamientos.",Turyści mogą zobaczyć na Marsie wiele pięknych krajobrazów. Nawet rodowici Marsjanie chętnie dowiedzieliby się o historii swoich kolonii.,"Туристов привлекают марсианские достопримечательности, а коренные марсиане тоже не прочь узнать что-то новое об истории колонизации.",火星のコロニーには観光客向けの名所がたくさんあり、火星生まれの者でさえ、移住の歴史について学ぶことを好む。,화성 식민지에서는 방문객들에게 다양한 관광지를 제공합니다. 화성의 원주민들도 다들 정착지의 역사에 대해 배우고 싶어 합니다.
PROJECT_228_NAME,,Lực lượng lao động người máy tự động,Automatisierte Belegschaft,Main-d’œuvre Robotisée,自动机器人工厂,Mano de obra robótica automatizada,Automatyka przemysłowa,Применение роботов,自動ロボスタッフ,자동 로봇 노동력
PROJECT_228_DESCRIPTION,,"Sáng tạo là bản chất của con người, động lực của tâm hồn con người! Bây giờ hầu hết lao động nặng nhọc được thực hiện bởi người máy, mọi người có nhiều thời gian hơn để dành cho công việc sáng tạo.","Kreativität ist die alles definierende Eigenschaft des Menschen, die treibende Kraft seiner Seele. Nachdem inzwischen die meiste schwere Arbeit von Robotern übernommen wird, haben die Menschen mehr Zeit, sich kreativer Arbeit zu widmen.","La créativité est ce qui définit l’Homme, elle est le moteur de l’âme humaine ! Maintenant que la plupart des tâches pénibles sont effectuées par des robots, les humains ont davantage de temps à consacrer à la créativité.",创意是人类的固有属性，是人类灵魂的驱动力！既然大部分苦力活都由机器人完成，人类自然就有更多时间从事发挥创意的工作。,"La creatividad no solo define al ser humano, ¡también es el motor del alma de la humanidad! Ahora que los robots se encargan de la mayoría de los trabajos pesados, la humanidad tiene tiempo para dedicarse a labores más creativas.","Kreatywność jest najważniejszą cechą człowieka i motorem rozwoju cywilizacji. Odkąd najbardziej uciążliwe zadania przejęły roboty, ludzie mogą się skupić na pracy twórczej.","Творчество – это определяющая черта человека, движущая сила его души! Теперь, когда большую часть тяжелой работы выполняют роботы, у людей появилось больше времени для творчества.",創造性はヒトをヒトたらしめる特質であり、人類の魂の原動力である！ 大抵の重労働をロボットが担当している今、人間が創造的な労働に費やす時間が増えた。,"창의력은 인간을 정의하는 능력이자 인류의 영혼을 움직이는 원동력입니다! 이제 대부분의 육체 노동은 로봇이 수행하기 때문에, 인간이 창의적인 작업에 투자할 시간이 증가했습니다."
PROJECT_153_NAME,,Túp lều núi,Berghütten,Cabanes de Montagne,山间小屋,Cabañas alpinas,Schroniska,Горные шале,山小屋,산악 오두막
PROJECT_153_DESCRIPTION,,"Lều truyền thống của Thụy Sĩ, được sử dụng để đi bộ đường dài khi trời ấm và trượt tuyết khi trời lạnh. Khi bạn trở về từ chuyến đi của bạn, nước xốt pho mát lớn đang chờ!","Eine traditionelle Berghütte, die je nach Jahreszeit von Wanderern oder Skifahrern genutzt wird. Wer von seiner Tour hierher zurückkehrt, den erwartet ein großes Käsefondue!","Une cabane suisse traditionnelle utilisée pour les randonnées en été et pour le ski en hiver. À votre retour, une grosse fondue au fromage vous attend !",一间传统的瑞士小屋，气候温暖时迎接远足的游客，气候寒冷时迎接滑雪的游客。你旅行归来后就能吃到大份奶酪火锅！,Una cabaña suiza tradicional para hacer senderismo cuando hace buen tiempo y esquiar cuando nieva. ¡Aquí siempre habrá una olla de queso fundido esperándote!,"Tradycyjne górskie chatki oferujące schronienie wędrowcom, gdy jest ciepło, oraz narciarzom, kiedy jest zimno. Na wracających z wycieczek zawsze czeka duże serowe fondue!",Традиционная швейцарская хижина для любителей пеших прогулок в теплое время года и катания на лыжах – в холодное. По возвращении в дом вас ждет большой котелок сырного фондю!,暖かいときにはハイキング、寒いときにはスキーに使われる、伝統的なスイスの小屋。旅行から帰ってきたら、大きなチーズフォンデュが待っているぞ！,"스위스의 전통적인 오두막으로, 날씨가 따뜻할 때는 하이킹, 추울 때는 스키에 이용됩니다. 여행에서 돌아오면 커다란 치즈 퐁듀가 기다리고 있을 겁니다!"
PROJECT_155_NAME,,Khu bảo tồn thiên nhiên,Naturreservat,Réserve Naturelle,自然保护区,Reserva natural,Rezerwat przyrody,Природная резервация,自然保護区,자연 보호 구역
PROJECT_155_DESCRIPTION,,"Dự định để bảo vệ thiên nhiên khỏi ảnh hưởng quá mức của con người, vùng này là nơi ẩn náu của động vật hoang dã và không chứa cấu trúc của con người.","Dieses Gebiet soll die Natur vor dem übermäßigen Einfluss des Menschen bewahren, dient als Zufluchtsort für wilde Tiere und enthält keinerlei menschliche Bauwerke.",La réserve a pour but de protéger la nature de l’influence de l’Homme. Cette zone est un refuge pour animaux et ne contient aucune structure humaine.,为了保护自然不被人类过度影响，我们设立了这个自然保护区。这里没有任何人造建筑，堪称野生动物的天堂。,Esta zona está diseñada para proteger la naturaleza de una excesiva influencia humana. Se trata de un refugio para la vida silvestre y no tiene ninguna estructura creada por el hombre.,Schronienie dla fauny i flory przed niszczycielskim działaniem cywilizacji.,"Эта территория – уголок дикой природы, не тронутой влиянием человека.",人間の過剰な影響から自然を守ることを目的としている。このエリアは野生生物の避難所であり、人間の建造物がない。,"과도한 인간의 영향력으로부터 자연을 보호하기 위해 조성된 이 지역은 야생 동물의 피난처로, 인간 구조물이 전혀 없습니다."
PROJECT_162_NAME,,Phòng trưng bày nghệ thuật địa phương,Kunstgalerie,Galerie d’Art Locale,本地艺术馆,Galería de arte local,Galeria sztuki marsjańskiej,Местная художественная галерея,火星アートギャラリー,지역 아트 갤러리
PROJECT_162_DESCRIPTION,,"Nơi để các nghệ sĩ sao Hỏa địa phương trưng bày tác phẩm của họ, được thành lập bởi Léna Kertész.","Ein Ort, an dem lokale Künstler ihre Arbeit ausstellen können. Gegründet von Léna Kertész.",Un lieu où les artistes martiens locaux peuvent présenter leurs œuvres. Fondée par Léna Kertész.,火星艺术家展示作品的地方，由蕾娜·克尔提斯设立。,Un lugar fundado por Léna Kertész para que los artistas locales marcianos puedan exhibir su arte.,"Założone przez Lénę Kertész miejsce, gdzie marsjańscy twórcy mogą wystawiać swoje dzieła.","Основанная Линой Кертеш галерея, где местные марсианские художники выставляют свои работы.",火星人アーティストが作品を展示する場所。レナ・ケルテスが設立した。,"화성의 현지 예술가들이 작품을 전시하는 장소로, 레나 케르테즈가 설립했습니다."
PROJECT_185_NAME,,Đồn cảnh sát,Polizeistation,Poste de Police,警察局,Comisaría,Posterunek policji,Полицейский участок,警察署,경찰서
PROJECT_185_DESCRIPTION,,Đội cảnh sát do Tariq Fayed thành lập giữ gìn hòa bình và cung cấp cho công dân nơi để tìm sự bảo vệ của luật pháp.,"Die Polizei, gegründet von Tariq Fayed, wahrt die Ordnung und bietet der Bevölkerung einen Ort, an dem sie Schutz durch das Gesetz suchen kann.",La brigade de police fondée par Tariq Fayed maintient l’ordre et la paix et offre un refuge légal aux citoyens.,塔里克·费伊德设立的警察局旨在维护和平，为市民提供法律庇护。,El cuerpo de policía fundado por Tariq Fayed vela por la paz y es el lugar al que los ciudadanos acuden cuando necesitan que la ley los proteja.,Tariq Fayed zorganizował pierwszą jednostkę marsjańskiej policji z myślą o wszystkich szukających pomocy ze strony służb porządkowych.,"Полицейский участок, основанный Тариком Файедом, поддерживает мир и порядок и обеспечивает населению защиту именем закона.",タリク・ファイドが組織した警察は、平和を守り、住人が法の保護を求められる場所を提供する。,타리크 파예드가 설립한 경찰 부대는 평화를 유지하고 시민들이 법률의 보호를 받을 장소를 제공합니다.
PROJECT_187_NAME,,Đền thờ Astral,Astraltempel,Temple Stellaire,观星庙宇,Templo astral,Świątynia astralna,Астральный храм,星の礼拝堂,별의 사원
PROJECT_187_DESCRIPTION,,"Đền với cung thiên văn lớn và giàn kính viễn vọng trên mái nhà, được thiết kế theo ý tưởng của Jagrav Varman. Chỉ bằng cách vươn tới các vì sao, bạn mới có thể đạt được giác ngộ!","Nach den Ideen von Jagrav Varman erbauter Tempel mit einem großen Planetarium und Teleskopplattformen auf dem Dach. Nur wer nach den Sternen greift, kann Erleuchtung finden!","Un temple équipé d’un planétarium et de télescopes sur son toit, conçu à partir des idées de Jagrav Varman. L’illumination ne peut s’atteindre qu’à travers les étoiles !",一座在楼顶放置大型天象仪和望远镜平台的寺庙，是按照贾甘夫·瓦尔曼的想法设计的。只有仰望群星，你才能获得启迪！,"Un templo que cuenta con un enorme planetario y plataformas para telescopios en el techo, diseñado según los planes de Jagrav Varman. ¡Para alcanzar la verdadera iluminación, hay que alzar la vista a las estrellas!","Świątynia z planetarium i obserwatorium astronomicznym na dachu, zaprojektowana według pomysłu Jagrava Varmana. Zgodnie z jego postulatami ludzkość jest w stanie osiągnąć oświecenie dopiero, gdy sięgnie gwiazd!","Храм с большим планетарием и телескопическими платформами на крыше, построенный по проекту Джаграва Вармана. Только дотянувшись до звезд, можно достичь просветления!",大きなプラネタリウムを備えた礼拝堂で、屋根には望遠鏡がある。ジャグラフ・ヴァルマンの案を元に設計された。星々に手を伸ばすことによってのみ、悟りを得られる！,"커다란 천체 망원경이 있고 지붕에는 망원경이 부착되어 있는 사원으로, 자그라브 바르먼의 아이디어에 따라 설계되었습니다. 깨달음을 얻으려면 별들을 향해 나아가야 합니다!"
LEADER_SKILL_NAME_FREEPROJECT,,{0},{0},{0},{0},{0},{0},{0},{0},{0}
LEADER_SKILL_TOOLTIP_FREEPROJECT,,Xây dựng {0} miễn phí.,Baue {0} kostenlos.,Construisez {0} gratuitement.,免费开展{0}。,Construye {0} gratis.,Darmowa budowa: {0}.,{0}: бесплатное строительство.,{0}を無料で建設できます。,{0}을(를) 자원 소모 없이 건설합니다.
PROJECT_204_NAME,,Hiệp hội công nhân sao Hỏa,Marsianische Arbeitervereinigung,Association des Travailleurs Martiens,火星工会,Asociación de trabajadores marcianos,Marsjański Związek Zawodowy,Ассоциация марсианских рабочих,火星労働組合,화성 노동자 조합
PROJECT_204_DESCRIPTION,,Có công nhân đến với nhau và cho họ tiếng nói về điều kiện làm việc giúp cải thiện tinh thần của họ và tăng sự hài lòng với công việc.,"Wenn Arbeiter sich organisieren und zusammenkommen dürfen, verbessert sich ihre Moral und ihre Zufriedenheit steigt.",Laisser les travailleurs se réunir et discuter de leurs conditions de travail permet d’améliorer leur moral et leur satisfaction.,工会可以让工人们联合起来，对自己的工作环境和条件各抒己见，提高他们的工作热情和工作满意度。,Que los trabajadores puedan reunirse para hablar abiertamente sobre sus condiciones laborales es beneficioso tanto para la moral como para la satisfacción en el trabajo.,"Gdy pracownicy organizują się, by mieć wpływ na warunki pracy, ich morale rośnie, a sama praca przynosi więcej satysfakcji.",Объединение рабочих и предоставление им права голоса в отношении условий труда повышает их моральный дух и удовольствие от выполняемой работы.,労働者を団結させ、労働環境について発言させることは、彼らの士気や仕事に対する満足度を上げる。,노동자들이 연대하여 노동 조건을 변화시킬 권한을 확보하면 사기가 올라가고 직무 만족도가 증가합니다.
PROJECT_207_NAME,,Khu liên hợp đào tạo vận động viên,Sportanlage,Complexe d’Entrainement pour Athlètes,运动员训练中心,Complejo de entrenamiento de atletas,Kompleks treningowy dla lekkoatletów,Спортивно-тренировочный комплекс,アスリート用トレーニング施設,운동 선수 훈련 복합단지
PROJECT_207_DESCRIPTION,,Các cơ sở mà các vận động viên có thể tập luyện cho Thế vận hội trên sao Hỏa.,Hier können Athleten für die Marsolympiade trainieren.,Des établissements où les athlètes peuvent s’entrainer pour les Jeux Olympiques martiens.,可使运动员备战火星奥运会的设施。,Instalaciones donde los atletas entrenan para las olimpiadas marcianas.,"Zespół obiektów, gdzie mogą trenować lekkoatleci startujący w Olimpiadzie Marsjańskiej.","Комплекс, где спортсмены могут готовиться к участию в марсианских Олимпийских играх.",アスリートたちが火星オリンピックに備えてトレーニングできる施設。,화성 올림픽을 준비하는 운동선수들의 훈련을 지원합니다.
PROJECT_210_NAME,,Đại sứ quán,Botschaft,Ambassade,大使馆,Embajada,Ambasada,Посольство,大使館,대사관
